Item Name,Price (USD),Quantity,Total (USD),Purchase Link
Repeat Mini Brushed Mk2,20.0,2,40.0,https://repeat-robotics.com/buy/brushed/
Drive ESC,45.0,1,45.0,https://repeat-robotics.com/buy/repeat-am32-dual-brushless-drive-esc/
Weapon Hub Motor,50.0,1,50.0,https://repeat-robotics.com/buy/2207-battle-ready-hubmotor/
Weapon ESC,13.5,1,13.5,https://repeat-robotics.com/buy/readytosky-35a-blheli_s-ant-weapon-esc/
Power Switch,9.0,1,9.0,https://repeat-robotics.com/buy/fingertech-switch/
FlySky Reciever,13.0,1,13.0,https://repeat-robotics.com/buy/flysky-fs2a-receiver/
Steel Laser Cut Parts,48.7,1,48.7,https://www.fabworks.com/share/JP7g5xKhfYvV
Steel Weapon Shaft,9.9,1,9.9,https://www.amazon.com/inches-Diameter-Stainless-%EF%BC%8CMetal-Working/dp/B0D1XZ5HBT/
3s 380mah Battery,25.25,1,25.25,https://www.amazon.com/GAONENG-Battery-380mAh-Horizon-Inductrix/dp/B09CD6H1CR/
12mm Plastic Screws,8.73,1,8.73,https://www.mcmaster.com/catalog/131/3432/99461A943
Wheels,3.29,4,13.16,https://palmbeachbots.com/products/banebots-t61-hub-4mm-shaft-1-wide?
Hubs,4.49,2,8.98,https://palmbeachbots.com/products/banebots-t61-hub-4mm-shaft-1-wide?
Transmitter,59.99,1,59.99,https://www.amazon.com/FLYSKY-Transmitter-Controller-Receiver-Upgrade/dp/B07Z8VCB45
